variant,entity_count,updates,failed_updates,avg_gas_used,std_gas_used,avg_confirmation_latency_ms,std_confirmation_latency_ms,avg_end_to_end_latency_ms,std_end_to_end_latency_ms,avg_read_latency_ms,std_read_latency_ms,avg_max_same_block_ratio,std_max_same_block_ratio,avg_blocks_per_round,std_blocks_per_round,consistency_mismatches,final_trusted,final_suspicious,final_untrusted
A,3,90,0,37773.13,2.29,4789.08,1387.11,4919.29,1385.29,113.53,14.6,1,0,1,0,0,3,0,0
A,6,180,0,37773.2,1.92,4656.87,1615.7,4796.39,1616.3,113.37,28.74,1,0,1,0,0,4,2,0
A,9,270,0,37773.49,1.56,4741.19,1416.63,5113.17,1485.56,292.97,288.9,1,0,1,0,0,4,3,2
A,10,900,0,38252.96,2633.81,4590.76,704.31,4791.66,726.95,159.41,141.57,1,0,1,0,0,12,9,9
B,3,90,0,38845.13,2.29,4661.2,1228.84,4794.29,1228.83,119.36,11.76,1,0,1,0,0,3,0,0
B,6,180,0,38851.87,1.92,4786.25,1393.15,4939.68,1390.53,112.63,17.04,1,0,1,0,0,4,2,0
B,9,270,0,38856.38,1.56,4602.55,835.24,4754.14,862.86,190.04,244.58,1,0,1,0,0,4,3,2
B,10,900,0,39336.79,2633.79,4828.42,934.25,5028.13,990.02,175.77,169.41,1,0,1,0,0,12,9,9
C,3,90,0,40203.93,8.32,4611.19,1462.68,4850.91,1330.84,190.61,205.86,1,0,1,0,0,3,0,0
C,6,180,0,40232.4,5.81,4657.92,1230.5,4807.14,1229.05,109.86,9.4,1,0,1,0,0,4,2,0
C,9,270,0,40251.4,3.83,4543.67,826.66,4688.24,831.25,119.47,44.2,0.99,0.04,1.03,0.18,0,4,3,2
C,10,900,0,40734.58,2636.47,4587.54,709.89,4740.42,706.4,118.73,18.6,1,0,1,0,0,12,9,9
