run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T08-53-43-261Z,C,1,2026-07-13T08:53:44.243Z,6376756,10,10,10,10,10,40,variant-batch blocks=1 max_same_block=10 distribution=6376756:10
datm-live-2026-07-13T08-53-43-261Z,C,2,2026-07-13T08:53:57.967Z,6376758,20,20,20,10,20,80,variant-batch blocks=1 max_same_block=10 distribution=6376758:10
datm-live-2026-07-13T08-53-43-261Z,C,3,2026-07-13T08:54:08.122Z,6376760,30,30,30,10,30,120,variant-batch blocks=1 max_same_block=10 distribution=6376760:10
datm-live-2026-07-13T08-53-43-261Z,C,4,2026-07-13T08:54:14.415Z,6376762,40,40,40,10,40,160,variant-batch blocks=1 max_same_block=10 distribution=6376762:10
datm-live-2026-07-13T08-53-43-261Z,C,5,2026-07-13T08:54:24.326Z,6376764,50,50,50,10,50,200,variant-batch blocks=1 max_same_block=10 distribution=6376764:10
datm-live-2026-07-13T08-53-43-261Z,C,6,2026-07-13T08:54:38.116Z,6376766,60,60,60,10,60,240,variant-batch blocks=1 max_same_block=10 distribution=6376766:10
datm-live-2026-07-13T08-53-43-261Z,C,7,2026-07-13T08:54:47.855Z,6376768,70,70,70,10,70,280,variant-batch blocks=1 max_same_block=10 distribution=6376768:10
datm-live-2026-07-13T08-53-43-261Z,C,8,2026-07-13T08:54:57.634Z,6376770,80,80,80,10,80,320,variant-batch blocks=1 max_same_block=10 distribution=6376770:10
datm-live-2026-07-13T08-53-43-261Z,C,9,2026-07-13T08:55:07.394Z,6376772,90,90,90,10,90,360,variant-batch blocks=1 max_same_block=10 distribution=6376772:10
datm-live-2026-07-13T08-53-43-261Z,C,10,2026-07-13T08:55:17.134Z,6376774,100,100,100,10,100,400,variant-batch blocks=1 max_same_block=10 distribution=6376774:10
datm-live-2026-07-13T08-53-43-261Z,C,11,2026-07-13T08:55:26.877Z,6376776,110,110,110,10,110,440,variant-batch blocks=1 max_same_block=10 distribution=6376776:10
datm-live-2026-07-13T08-53-43-261Z,C,12,2026-07-13T08:55:36.665Z,6376778,120,120,120,10,120,480,variant-batch blocks=1 max_same_block=10 distribution=6376778:10
datm-live-2026-07-13T08-53-43-261Z,C,13,2026-07-13T08:55:46.631Z,6376780,130,130,130,10,130,520,variant-batch blocks=1 max_same_block=10 distribution=6376780:10
datm-live-2026-07-13T08-53-43-261Z,C,14,2026-07-13T08:55:56.394Z,6376782,140,140,140,10,140,560,variant-batch blocks=1 max_same_block=10 distribution=6376782:10
datm-live-2026-07-13T08-53-43-261Z,C,15,2026-07-13T08:56:06.128Z,6376784,150,150,150,10,150,600,variant-batch blocks=1 max_same_block=10 distribution=6376784:10
datm-live-2026-07-13T08-53-43-261Z,C,16,2026-07-13T08:56:15.847Z,6376786,160,160,160,10,160,640,variant-batch blocks=1 max_same_block=10 distribution=6376786:10
datm-live-2026-07-13T08-53-43-261Z,C,17,2026-07-13T08:56:25.575Z,6376788,170,170,170,10,170,680,variant-batch blocks=1 max_same_block=10 distribution=6376788:10
datm-live-2026-07-13T08-53-43-261Z,C,18,2026-07-13T08:56:35.342Z,6376790,180,180,180,10,180,720,variant-batch blocks=1 max_same_block=10 distribution=6376790:10
datm-live-2026-07-13T08-53-43-261Z,C,19,2026-07-13T08:56:45.126Z,6376792,190,190,190,10,190,760,variant-batch blocks=1 max_same_block=10 distribution=6376792:10
datm-live-2026-07-13T08-53-43-261Z,C,20,2026-07-13T08:56:54.826Z,6376794,200,200,200,10,200,800,variant-batch blocks=1 max_same_block=10 distribution=6376794:10
datm-live-2026-07-13T08-53-43-261Z,C,21,2026-07-13T08:57:04.584Z,6376796,210,210,210,10,210,840,variant-batch blocks=1 max_same_block=10 distribution=6376796:10
datm-live-2026-07-13T08-53-43-261Z,C,22,2026-07-13T08:57:14.358Z,6376798,220,220,220,10,220,880,variant-batch blocks=1 max_same_block=10 distribution=6376798:10
datm-live-2026-07-13T08-53-43-261Z,C,23,2026-07-13T08:57:28.184Z,6376800,230,230,230,10,230,920,variant-batch blocks=1 max_same_block=10 distribution=6376800:10
datm-live-2026-07-13T08-53-43-261Z,C,24,2026-07-13T08:57:37.934Z,6376802,240,240,240,10,240,960,variant-batch blocks=1 max_same_block=10 distribution=6376802:10
datm-live-2026-07-13T08-53-43-261Z,C,25,2026-07-13T08:57:47.696Z,6376804,250,250,250,10,250,1000,variant-batch blocks=1 max_same_block=10 distribution=6376804:10
datm-live-2026-07-13T08-53-43-261Z,C,26,2026-07-13T08:57:57.396Z,6376806,260,260,260,10,260,1040,variant-batch blocks=1 max_same_block=10 distribution=6376806:10
datm-live-2026-07-13T08-53-43-261Z,C,27,2026-07-13T08:58:07.106Z,6376808,270,270,270,10,270,1080,variant-batch blocks=1 max_same_block=10 distribution=6376808:10
datm-live-2026-07-13T08-53-43-261Z,C,28,2026-07-13T08:58:16.846Z,6376810,280,280,280,10,280,1120,variant-batch blocks=1 max_same_block=10 distribution=6376810:10
datm-live-2026-07-13T08-53-43-261Z,C,29,2026-07-13T08:58:26.593Z,6376812,290,290,290,10,290,1160,variant-batch blocks=1 max_same_block=10 distribution=6376812:10
datm-live-2026-07-13T08-53-43-261Z,C,30,2026-07-13T08:58:36.326Z,6376814,300,300,300,10,300,1200,variant-batch blocks=1 max_same_block=10 distribution=6376814:10
