run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T09-01-24-227Z,A,1,2026-07-13T09:01:33.248Z,6376849,10,10,10,10,10,40,variant-batch blocks=1 max_same_block=10 distribution=6376849:10
datm-live-2026-07-13T09-01-24-227Z,A,2,2026-07-13T09:01:43.044Z,6376851,20,20,20,10,20,80,variant-batch blocks=1 max_same_block=10 distribution=6376851:10
datm-live-2026-07-13T09-01-24-227Z,A,3,2026-07-13T09:01:52.824Z,6376853,30,30,30,10,30,120,variant-batch blocks=1 max_same_block=10 distribution=6376853:10
datm-live-2026-07-13T09-01-24-227Z,A,4,2026-07-13T09:02:02.738Z,6376855,40,40,40,10,40,160,variant-batch blocks=1 max_same_block=10 distribution=6376855:10
datm-live-2026-07-13T09-01-24-227Z,A,5,2026-07-13T09:02:10.082Z,6376857,50,50,50,10,50,200,variant-batch blocks=1 max_same_block=10 distribution=6376857:10
datm-live-2026-07-13T09-01-24-227Z,A,6,2026-07-13T09:02:19.853Z,6376859,60,60,60,10,60,240,variant-batch blocks=1 max_same_block=10 distribution=6376859:10
datm-live-2026-07-13T09-01-24-227Z,A,7,2026-07-13T09:02:29.687Z,6376861,70,70,70,10,70,280,variant-batch blocks=1 max_same_block=10 distribution=6376861:10
datm-live-2026-07-13T09-01-24-227Z,A,8,2026-07-13T09:02:41.962Z,6376863,80,80,80,10,80,320,variant-batch blocks=1 max_same_block=10 distribution=6376863:10
datm-live-2026-07-13T09-01-24-227Z,A,9,2026-07-13T09:02:52.849Z,6376865,90,90,90,10,90,360,variant-batch blocks=1 max_same_block=10 distribution=6376865:10
datm-live-2026-07-13T09-01-24-227Z,A,10,2026-07-13T09:03:02.588Z,6376867,100,100,100,10,100,400,variant-batch blocks=1 max_same_block=10 distribution=6376867:10
datm-live-2026-07-13T09-01-24-227Z,A,11,2026-07-13T09:03:12.412Z,6376869,110,110,110,10,110,440,variant-batch blocks=1 max_same_block=10 distribution=6376869:10
datm-live-2026-07-13T09-01-24-227Z,A,12,2026-07-13T09:03:23.138Z,6376871,120,120,120,10,120,480,variant-batch blocks=1 max_same_block=10 distribution=6376871:10
datm-live-2026-07-13T09-01-24-227Z,A,13,2026-07-13T09:03:29.332Z,6376873,130,130,130,10,130,520,variant-batch blocks=1 max_same_block=10 distribution=6376873:10
datm-live-2026-07-13T09-01-24-227Z,A,14,2026-07-13T09:03:40.077Z,6376875,140,140,140,10,140,560,variant-batch blocks=1 max_same_block=10 distribution=6376875:10
datm-live-2026-07-13T09-01-24-227Z,A,15,2026-07-13T09:03:50.747Z,6376877,150,150,150,10,150,600,variant-batch blocks=1 max_same_block=10 distribution=6376877:10
datm-live-2026-07-13T09-01-24-227Z,A,16,2026-07-13T09:04:00.478Z,6376879,160,160,160,10,160,640,variant-batch blocks=1 max_same_block=10 distribution=6376879:10
datm-live-2026-07-13T09-01-24-227Z,A,17,2026-07-13T09:04:10.204Z,6376881,170,170,170,10,170,680,variant-batch blocks=1 max_same_block=10 distribution=6376881:10
datm-live-2026-07-13T09-01-24-227Z,A,18,2026-07-13T09:04:20.326Z,6376883,180,180,180,10,180,720,variant-batch blocks=1 max_same_block=10 distribution=6376883:10
datm-live-2026-07-13T09-01-24-227Z,A,19,2026-07-13T09:04:30.999Z,6376885,190,190,190,10,190,760,variant-batch blocks=1 max_same_block=10 distribution=6376885:10
datm-live-2026-07-13T09-01-24-227Z,A,20,2026-07-13T09:04:43.090Z,6376887,200,200,200,10,200,800,variant-batch blocks=1 max_same_block=10 distribution=6376887:10
datm-live-2026-07-13T09-01-24-227Z,A,21,2026-07-13T09:04:57.886Z,6376890,210,210,210,10,210,840,variant-batch blocks=1 max_same_block=10 distribution=6376890:10
datm-live-2026-07-13T09-01-24-227Z,A,22,2026-07-13T09:05:07.904Z,6376892,220,220,220,10,220,880,variant-batch blocks=1 max_same_block=10 distribution=6376892:10
datm-live-2026-07-13T09-01-24-227Z,A,23,2026-07-13T09:05:17.632Z,6376894,230,230,230,10,230,920,variant-batch blocks=1 max_same_block=10 distribution=6376894:10
datm-live-2026-07-13T09-01-24-227Z,A,24,2026-07-13T09:05:27.360Z,6376896,240,240,240,10,240,960,variant-batch blocks=1 max_same_block=10 distribution=6376896:10
datm-live-2026-07-13T09-01-24-227Z,A,25,2026-07-13T09:05:37.064Z,6376898,250,250,250,10,250,1000,variant-batch blocks=1 max_same_block=10 distribution=6376898:10
datm-live-2026-07-13T09-01-24-227Z,A,26,2026-07-13T09:05:46.942Z,6376900,260,260,260,10,260,1040,variant-batch blocks=1 max_same_block=10 distribution=6376900:10
datm-live-2026-07-13T09-01-24-227Z,A,27,2026-07-13T09:05:56.682Z,6376902,270,270,270,10,270,1080,variant-batch blocks=1 max_same_block=10 distribution=6376902:10
datm-live-2026-07-13T09-01-24-227Z,A,28,2026-07-13T09:06:06.401Z,6376904,280,280,280,10,280,1120,variant-batch blocks=1 max_same_block=10 distribution=6376904:10
datm-live-2026-07-13T09-01-24-227Z,A,29,2026-07-13T09:06:16.490Z,6376906,290,290,290,10,290,1160,variant-batch blocks=1 max_same_block=10 distribution=6376906:10
datm-live-2026-07-13T09-01-24-227Z,A,30,2026-07-13T09:06:26.216Z,6376908,300,300,300,10,300,1200,variant-batch blocks=1 max_same_block=10 distribution=6376908:10
