run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T09-07-24-495Z,B,1,2026-07-13T09:07:29.467Z,6376921,10,10,10,10,10,40,variant-batch blocks=1 max_same_block=10 distribution=6376921:10
datm-live-2026-07-13T09-07-24-495Z,B,2,2026-07-13T09:07:43.245Z,6376923,20,20,20,10,20,80,variant-batch blocks=1 max_same_block=10 distribution=6376923:10
datm-live-2026-07-13T09-07-24-495Z,B,3,2026-07-13T09:07:52.996Z,6376925,30,30,30,10,30,120,variant-batch blocks=1 max_same_block=10 distribution=6376925:10
datm-live-2026-07-13T09-07-24-495Z,B,4,2026-07-13T09:08:02.760Z,6376927,40,40,40,10,40,160,variant-batch blocks=1 max_same_block=10 distribution=6376927:10
datm-live-2026-07-13T09-07-24-495Z,B,5,2026-07-13T09:08:12.487Z,6376929,50,50,50,10,50,200,variant-batch blocks=1 max_same_block=10 distribution=6376929:10
datm-live-2026-07-13T09-07-24-495Z,B,6,2026-07-13T09:08:22.236Z,6376931,60,60,60,10,60,240,variant-batch blocks=1 max_same_block=10 distribution=6376931:10
datm-live-2026-07-13T09-07-24-495Z,B,7,2026-07-13T09:08:31.946Z,6376933,70,70,70,10,70,280,variant-batch blocks=1 max_same_block=10 distribution=6376933:10
datm-live-2026-07-13T09-07-24-495Z,B,8,2026-07-13T09:08:41.948Z,6376935,80,80,80,10,80,320,variant-batch blocks=1 max_same_block=10 distribution=6376935:10
datm-live-2026-07-13T09-07-24-495Z,B,9,2026-07-13T09:08:51.720Z,6376937,90,90,90,10,90,360,variant-batch blocks=1 max_same_block=10 distribution=6376937:10
datm-live-2026-07-13T09-07-24-495Z,B,10,2026-07-13T09:09:01.466Z,6376939,100,100,100,10,100,400,variant-batch blocks=1 max_same_block=10 distribution=6376939:10
datm-live-2026-07-13T09-07-24-495Z,B,11,2026-07-13T09:09:11.233Z,6376941,110,110,110,10,110,440,variant-batch blocks=1 max_same_block=10 distribution=6376941:10
datm-live-2026-07-13T09-07-24-495Z,B,12,2026-07-13T09:09:21.159Z,6376943,120,120,120,10,120,480,variant-batch blocks=1 max_same_block=10 distribution=6376943:10
datm-live-2026-07-13T09-07-24-495Z,B,13,2026-07-13T09:09:30.905Z,6376945,130,130,130,10,130,520,variant-batch blocks=1 max_same_block=10 distribution=6376945:10
datm-live-2026-07-13T09-07-24-495Z,B,14,2026-07-13T09:09:40.633Z,6376947,140,140,140,10,140,560,variant-batch blocks=1 max_same_block=10 distribution=6376947:10
datm-live-2026-07-13T09-07-24-495Z,B,15,2026-07-13T09:09:50.402Z,6376949,150,150,150,10,150,600,variant-batch blocks=1 max_same_block=10 distribution=6376949:10
datm-live-2026-07-13T09-07-24-495Z,B,16,2026-07-13T09:10:00.129Z,6376951,160,160,160,10,160,640,variant-batch blocks=1 max_same_block=10 distribution=6376951:10
datm-live-2026-07-13T09-07-24-495Z,B,17,2026-07-13T09:10:09.872Z,6376953,170,170,170,10,170,680,variant-batch blocks=1 max_same_block=10 distribution=6376953:10
datm-live-2026-07-13T09-07-24-495Z,B,18,2026-07-13T09:10:19.683Z,6376955,180,180,180,10,180,720,variant-batch blocks=1 max_same_block=10 distribution=6376955:10
datm-live-2026-07-13T09-07-24-495Z,B,19,2026-07-13T09:10:29.425Z,6376957,190,190,190,10,190,760,variant-batch blocks=1 max_same_block=10 distribution=6376957:10
datm-live-2026-07-13T09-07-24-495Z,B,20,2026-07-13T09:10:43.339Z,6376959,200,200,200,10,200,800,variant-batch blocks=1 max_same_block=10 distribution=6376959:10
datm-live-2026-07-13T09-07-24-495Z,B,21,2026-07-13T09:10:53.176Z,6376961,210,210,210,10,210,840,variant-batch blocks=1 max_same_block=10 distribution=6376961:10
datm-live-2026-07-13T09-07-24-495Z,B,22,2026-07-13T09:11:02.950Z,6376963,220,220,220,10,220,880,variant-batch blocks=1 max_same_block=10 distribution=6376963:10
datm-live-2026-07-13T09-07-24-495Z,B,23,2026-07-13T09:11:12.748Z,6376965,230,230,230,10,230,920,variant-batch blocks=1 max_same_block=10 distribution=6376965:10
datm-live-2026-07-13T09-07-24-495Z,B,24,2026-07-13T09:11:22.522Z,6376967,240,240,240,10,240,960,variant-batch blocks=1 max_same_block=10 distribution=6376967:10
datm-live-2026-07-13T09-07-24-495Z,B,25,2026-07-13T09:11:32.267Z,6376969,250,250,250,10,250,1000,variant-batch blocks=1 max_same_block=10 distribution=6376969:10
datm-live-2026-07-13T09-07-24-495Z,B,26,2026-07-13T09:11:42.025Z,6376971,260,260,260,10,260,1040,variant-batch blocks=1 max_same_block=10 distribution=6376971:10
datm-live-2026-07-13T09-07-24-495Z,B,27,2026-07-13T09:11:51.868Z,6376973,270,270,270,10,270,1080,variant-batch blocks=1 max_same_block=10 distribution=6376973:10
datm-live-2026-07-13T09-07-24-495Z,B,28,2026-07-13T09:12:01.765Z,6376975,280,280,280,10,280,1120,variant-batch blocks=1 max_same_block=10 distribution=6376975:10
datm-live-2026-07-13T09-07-24-495Z,B,29,2026-07-13T09:12:11.471Z,6376977,290,290,290,10,290,1160,variant-batch blocks=1 max_same_block=10 distribution=6376977:10
datm-live-2026-07-13T09-07-24-495Z,B,30,2026-07-13T09:12:21.221Z,6376979,300,300,300,10,300,1200,variant-batch blocks=1 max_same_block=10 distribution=6376979:10
