run_id,variant,entity_id,sequence_no,read_started_at,read_finished_at,read_latency_ms,block_tag,returned_ats,returned_trust_state,returned_timestamp,read_success,error_code,error_message
datm-live-2026-07-13T09-01-24-227Z,A,entity-01-normal,1,2026-07-13T09:01:33.043Z,2026-07-13T09:01:33.159Z,116,latest,89,Trusted,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-02-normal,1,2026-07-13T09:01:32.966Z,2026-07-13T09:01:33.106Z,140,latest,90,Trusted,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-03-normal,1,2026-07-13T09:01:33.007Z,2026-07-13T09:01:33.128Z,121,latest,90,Trusted,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-04-normal,1,2026-07-13T09:01:33.007Z,2026-07-13T09:01:33.130Z,123,latest,89,Trusted,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-05-suspicious,1,2026-07-13T09:01:33.007Z,2026-07-13T09:01:33.107Z,100,latest,63,Suspicious,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-06-suspicious,1,2026-07-13T09:01:33.005Z,2026-07-13T09:01:33.108Z,103,latest,60,Suspicious,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-07-suspicious,1,2026-07-13T09:01:33.202Z,2026-07-13T09:01:33.305Z,103,latest,61,Suspicious,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-08-malicious,1,2026-07-13T09:01:33.200Z,2026-07-13T09:01:33.305Z,105,latest,31,Untrusted,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-09-malicious,1,2026-07-13T09:01:33.212Z,2026-07-13T09:01:33.334Z,122,latest,29,Untrusted,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-10-malicious,1,2026-07-13T09:01:33.248Z,2026-07-13T09:01:33.362Z,114,latest,29,Untrusted,2026-07-13T09:01:24.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-01-normal,2,2026-07-13T09:01:42.806Z,2026-07-13T09:01:42.928Z,122,latest,93,Trusted,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-02-normal,2,2026-07-13T09:01:42.803Z,2026-07-13T09:01:42.912Z,109,latest,93,Trusted,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-03-normal,2,2026-07-13T09:01:42.811Z,2026-07-13T09:01:42.912Z,101,latest,91,Trusted,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-04-normal,2,2026-07-13T09:01:42.826Z,2026-07-13T09:01:42.929Z,103,latest,93,Trusted,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-05-suspicious,2,2026-07-13T09:01:42.827Z,2026-07-13T09:01:42.929Z,102,latest,60,Suspicious,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-06-suspicious,2,2026-07-13T09:01:42.838Z,2026-07-13T09:01:42.960Z,122,latest,60,Suspicious,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-07-suspicious,2,2026-07-13T09:01:43.007Z,2026-07-13T09:01:43.116Z,109,latest,63,Suspicious,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-08-malicious,2,2026-07-13T09:01:43.017Z,2026-07-13T09:01:43.151Z,134,latest,30,Untrusted,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-09-malicious,2,2026-07-13T09:01:43.038Z,2026-07-13T09:01:43.151Z,113,latest,28,Untrusted,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-10-malicious,2,2026-07-13T09:01:43.044Z,2026-07-13T09:01:43.178Z,134,latest,32,Untrusted,2026-07-13T09:01:34.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-01-normal,3,2026-07-13T09:01:52.620Z,2026-07-13T09:01:52.703Z,83,latest,93,Trusted,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-02-normal,3,2026-07-13T09:01:52.636Z,2026-07-13T09:01:52.750Z,114,latest,92,Trusted,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-03-normal,3,2026-07-13T09:01:52.606Z,2026-07-13T09:01:52.724Z,118,latest,93,Trusted,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-04-normal,3,2026-07-13T09:01:52.619Z,2026-07-13T09:01:52.722Z,103,latest,93,Trusted,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-05-suspicious,3,2026-07-13T09:01:52.618Z,2026-07-13T09:01:52.723Z,105,latest,60,Suspicious,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-06-suspicious,3,2026-07-13T09:01:52.621Z,2026-07-13T09:01:52.702Z,81,latest,64,Suspicious,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-07-suspicious,3,2026-07-13T09:01:52.788Z,2026-07-13T09:01:52.899Z,111,latest,60,Suspicious,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-01-24-227Z,A,entity-08-malicious,3,2026-07-13T09:01:52.804Z,2026-07-13T09:01:52.928Z,124,latest,28,Untrusted,2026-07-13T09:01:44.000Z,true,,live read after variant-batch update
