run_id,variant,entity_id,sequence_no,read_started_at,read_finished_at,read_latency_ms,block_tag,returned_ats,returned_trust_state,returned_timestamp,read_success,error_code,error_message
datm-live-2026-07-13T09-14-26-552Z,C,entity-01-normal,1,2026-07-13T09:14:31.485Z,2026-07-13T09:14:31.603Z,118,latest,89,Trusted,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-02-normal,1,2026-07-13T09:14:31.488Z,2026-07-13T09:14:31.605Z,117,latest,90,Trusted,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-03-normal,1,2026-07-13T09:14:31.490Z,2026-07-13T09:14:31.601Z,111,latest,90,Trusted,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-04-normal,1,2026-07-13T09:14:31.487Z,2026-07-13T09:14:31.606Z,119,latest,89,Trusted,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-05-suspicious,1,2026-07-13T09:14:31.517Z,2026-07-13T09:14:31.627Z,110,latest,63,Suspicious,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-06-suspicious,1,2026-07-13T09:14:31.497Z,2026-07-13T09:14:31.629Z,132,latest,60,Suspicious,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-07-suspicious,1,2026-07-13T09:14:31.703Z,2026-07-13T09:14:31.802Z,99,latest,61,Suspicious,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-08-malicious,1,2026-07-13T09:14:31.708Z,2026-07-13T09:14:31.802Z,94,latest,31,Untrusted,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-09-malicious,1,2026-07-13T09:14:31.732Z,2026-07-13T09:14:31.844Z,112,latest,29,Untrusted,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-10-malicious,1,2026-07-13T09:14:31.707Z,2026-07-13T09:14:31.816Z,109,latest,29,Untrusted,2026-07-13T09:14:26.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-01-normal,2,2026-07-13T09:14:41.268Z,2026-07-13T09:14:41.374Z,106,latest,93,Trusted,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-02-normal,2,2026-07-13T09:14:41.264Z,2026-07-13T09:14:41.365Z,101,latest,93,Trusted,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-03-normal,2,2026-07-13T09:14:41.269Z,2026-07-13T09:14:41.365Z,96,latest,91,Trusted,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-04-normal,2,2026-07-13T09:14:41.270Z,2026-07-13T09:14:41.374Z,104,latest,93,Trusted,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-05-suspicious,2,2026-07-13T09:14:41.265Z,2026-07-13T09:14:41.374Z,109,latest,60,Suspicious,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-06-suspicious,2,2026-07-13T09:14:41.292Z,2026-07-13T09:14:41.408Z,116,latest,60,Suspicious,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-07-suspicious,2,2026-07-13T09:14:41.505Z,2026-07-13T09:14:41.622Z,117,latest,63,Suspicious,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-08-malicious,2,2026-07-13T09:14:41.479Z,2026-07-13T09:14:41.584Z,105,latest,30,Untrusted,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-09-malicious,2,2026-07-13T09:14:41.481Z,2026-07-13T09:14:41.584Z,103,latest,28,Untrusted,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-10-malicious,2,2026-07-13T09:14:41.480Z,2026-07-13T09:14:41.584Z,104,latest,32,Untrusted,2026-07-13T09:14:36.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-01-normal,3,2026-07-13T09:14:51.043Z,2026-07-13T09:14:51.147Z,104,latest,93,Trusted,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-02-normal,3,2026-07-13T09:14:51.043Z,2026-07-13T09:14:51.136Z,93,latest,92,Trusted,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-03-normal,3,2026-07-13T09:14:51.043Z,2026-07-13T09:14:51.146Z,103,latest,93,Trusted,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-04-normal,3,2026-07-13T09:14:51.044Z,2026-07-13T09:14:51.148Z,104,latest,93,Trusted,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-05-suspicious,3,2026-07-13T09:14:51.063Z,2026-07-13T09:14:51.177Z,114,latest,60,Suspicious,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-06-suspicious,3,2026-07-13T09:14:51.039Z,2026-07-13T09:14:51.136Z,97,latest,64,Suspicious,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-07-suspicious,3,2026-07-13T09:14:51.219Z,2026-07-13T09:14:51.321Z,102,latest,60,Suspicious,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-14-26-552Z,C,entity-08-malicious,3,2026-07-13T09:14:51.237Z,2026-07-13T09:14:51.350Z,113,latest,28,Untrusted,2026-07-13T09:14:46.000Z,true,,live read after variant-batch update
