comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-01-normal-1,entity-01-normal,1,0xe9240d7fc6b1aa932937bf9931bbb000c23d7d33c08d62aaa3f9535e84f8ffc9,89,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-1,entity-02-normal,1,0xe22d19b4a6cf04be86027fce68bfc64835d8650aec2759ebab4afe4277886815,90,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-1,entity-03-normal,1,0xa4c1f5d91cfd62d15cc2267efd8cf6b8fe22272b55f1644fb5012bb828a45a47,90,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-1,entity-04-normal,1,0x797646cc58509bab67fccabcfee9089bfd36aa8760e440b07fcb60bfcb3a24d9,89,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-1,entity-05-suspicious,1,0x79ef406a275d003b31b30a2363e6abecc9cd0f1a1c37ac799f605143e20b4b05,63,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-1,entity-06-suspicious,1,0x3bc3ba6502071f44adadcdf47f1dc0364636f5c52d71235997f30fa597a0e42e,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-1,entity-07-suspicious,1,0x2c3d1eaa83a74ae34e343cf33506c2903bb883e1bec54802affcff5e7ef5c07f,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-1,entity-08-malicious,1,0xd14f96b2ea414ea7e7b451162ad78ee9f9f731d939bef51c8bc3350f5d232189,31,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-1,entity-09-malicious,1,0x303ce4feea67951ecdbe77a19ad9772dbfcd21776a6639c13418f1ba21621185,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-1,entity-10-malicious,1,0x2f0845bf4c60f8332d78b8e7e345a23afe93da935e3c1e897983fae774cef5e7,29,Untrusted,,,,,true,,,,A live result matches expected state
