run_id,variant,entity_id,sequence_no,read_started_at,read_finished_at,read_latency_ms,block_tag,returned_ats,returned_trust_state,returned_timestamp,read_success,error_code,error_message
datm-live-2026-07-13T09-30-04-165Z,B,entity-01-normal,1,2026-07-13T09:30:17.596Z,2026-07-13T09:30:19.415Z,1819,latest,89,Trusted,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-02-normal,1,2026-07-13T09:30:17.597Z,2026-07-13T09:30:19.853Z,2256,latest,90,Trusted,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-03-normal,1,2026-07-13T09:30:18.156Z,2026-07-13T09:30:19.639Z,1483,latest,90,Trusted,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-04-normal,1,2026-07-13T09:30:17.595Z,2026-07-13T09:30:19.225Z,1630,latest,89,Trusted,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-05-suspicious,1,2026-07-13T09:30:17.598Z,2026-07-13T09:30:19.224Z,1626,latest,63,Suspicious,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-06-suspicious,1,2026-07-13T09:30:18.155Z,2026-07-13T09:30:19.640Z,1485,latest,60,Suspicious,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-07-suspicious,1,2026-07-13T09:30:20.538Z,2026-07-13T09:30:23.736Z,3198,latest,61,Suspicious,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-08-malicious,1,2026-07-13T09:30:20.799Z,2026-07-13T09:30:24.314Z,3515,latest,31,Untrusted,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-09-malicious,1,2026-07-13T09:30:20.800Z,2026-07-13T09:30:24.313Z,3513,latest,29,Untrusted,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-10-malicious,1,2026-07-13T09:30:20.818Z,2026-07-13T09:30:24.315Z,3497,latest,29,Untrusted,2026-07-13T09:30:06.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-01-normal,2,2026-07-13T09:30:37.001Z,2026-07-13T09:30:38.568Z,1567,latest,93,Trusted,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-02-normal,2,2026-07-13T09:30:37.622Z,2026-07-13T09:30:38.953Z,1331,latest,93,Trusted,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-03-normal,2,2026-07-13T09:30:37.002Z,2026-07-13T09:30:38.762Z,1760,latest,91,Trusted,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-04-normal,2,2026-07-13T09:30:37.002Z,2026-07-13T09:30:38.569Z,1567,latest,93,Trusted,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-05-suspicious,2,2026-07-13T09:30:37.620Z,2026-07-13T09:30:38.952Z,1332,latest,60,Suspicious,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-06-suspicious,2,2026-07-13T09:30:37.624Z,2026-07-13T09:30:39.135Z,1511,latest,60,Suspicious,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-07-suspicious,2,2026-07-13T09:30:39.435Z,2026-07-13T09:30:40.673Z,1238,latest,63,Suspicious,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-08-malicious,2,2026-07-13T09:30:39.781Z,2026-07-13T09:30:40.694Z,913,latest,30,Untrusted,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-09-malicious,2,2026-07-13T09:30:39.788Z,2026-07-13T09:30:41.076Z,1288,latest,28,Untrusted,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T09-30-04-165Z,B,entity-10-malicious,2,2026-07-13T09:30:39.783Z,2026-07-13T09:30:40.693Z,910,latest,32,Untrusted,2026-07-13T09:30:16.000Z,true,,live read after variant-batch update
