comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-01-normal-1,entity-01-normal,1,0xe9240d7fc6b1aa932937bf9931bbb000c23d7d33c08d62aaa3f9535e84f8ffc9,89,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-1,entity-02-normal,1,0xe22d19b4a6cf04be86027fce68bfc64835d8650aec2759ebab4afe4277886815,90,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-1,entity-03-normal,1,0xa4c1f5d91cfd62d15cc2267efd8cf6b8fe22272b55f1644fb5012bb828a45a47,90,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-2,entity-01-normal,2,0x9f3a90c3796e6f4144f13ba7d6c47a7cdc3eb6584d00b01f8e9166c5e72e52f7,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-2,entity-02-normal,2,0x6d57f9a54bd746c71abbbe4665bd50eab817d8f305750a6a978e590be7bcb563,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-2,entity-03-normal,2,0xabffaf568653afd59b016c77019c93d8e2c2658a6ce9ecb43166874deefb34cf,91,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-3,entity-01-normal,3,0xac7bba9b56a7c121303b6543b4ba62a6b465e6e738783c62f728dc3d29097700,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-3,entity-02-normal,3,0xf615043d27f75aa48a41055a5e7c3bae1539681c32df36e7a71a88d536df85e1,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-3,entity-03-normal,3,0xd45a4f8611368a51dd55c13c61a72e3dd64b6568a7a3151d353c755d6f14ee6a,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-4,entity-01-normal,4,0xb55f1277b567e0dca95b195de924f92199ecb2a18968362a532ad7e1dc4edbc5,91,Trusted,,,,,true,,,,A live result matches expected state
