run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T10-51-21-222Z,B,1,2026-07-13T10:51:25.924Z,6378168,3,3,3,3,3,12,variant-batch blocks=1 max_same_block=3 distribution=6378168:3
datm-live-2026-07-13T10-51-21-222Z,B,2,2026-07-13T10:51:35.514Z,6378170,6,6,6,3,6,24,variant-batch blocks=1 max_same_block=3 distribution=6378170:3
datm-live-2026-07-13T10-51-21-222Z,B,3,2026-07-13T10:51:44.995Z,6378172,9,9,9,3,9,36,variant-batch blocks=1 max_same_block=3 distribution=6378172:3
datm-live-2026-07-13T10-51-21-222Z,B,4,2026-07-13T10:51:54.572Z,6378174,12,12,12,3,12,48,variant-batch blocks=1 max_same_block=3 distribution=6378174:3
datm-live-2026-07-13T10-51-21-222Z,B,5,2026-07-13T10:52:08.073Z,6378176,15,15,15,3,15,60,variant-batch blocks=1 max_same_block=3 distribution=6378176:3
datm-live-2026-07-13T10-51-21-222Z,B,6,2026-07-13T10:52:17.698Z,6378178,18,18,18,3,18,72,variant-batch blocks=1 max_same_block=3 distribution=6378178:3
datm-live-2026-07-13T10-51-21-222Z,B,7,2026-07-13T10:52:27.330Z,6378180,21,21,21,3,21,84,variant-batch blocks=1 max_same_block=3 distribution=6378180:3
datm-live-2026-07-13T10-51-21-222Z,B,8,2026-07-13T10:52:36.837Z,6378182,24,24,24,3,24,96,variant-batch blocks=1 max_same_block=3 distribution=6378182:3
datm-live-2026-07-13T10-51-21-222Z,B,9,2026-07-13T10:52:46.383Z,6378184,27,27,27,3,27,108,variant-batch blocks=1 max_same_block=3 distribution=6378184:3
datm-live-2026-07-13T10-51-21-222Z,B,10,2026-07-13T10:52:55.878Z,6378186,30,30,30,3,30,120,variant-batch blocks=1 max_same_block=3 distribution=6378186:3
datm-live-2026-07-13T10-51-21-222Z,B,11,2026-07-13T10:53:05.418Z,6378188,33,33,33,3,33,132,variant-batch blocks=1 max_same_block=3 distribution=6378188:3
datm-live-2026-07-13T10-51-21-222Z,B,12,2026-07-13T10:53:14.898Z,6378190,36,36,36,3,36,144,variant-batch blocks=1 max_same_block=3 distribution=6378190:3
datm-live-2026-07-13T10-51-21-222Z,B,13,2026-07-13T10:53:24.448Z,6378192,39,39,39,3,39,156,variant-batch blocks=1 max_same_block=3 distribution=6378192:3
datm-live-2026-07-13T10-51-21-222Z,B,14,2026-07-13T10:53:38.003Z,6378194,42,42,42,3,42,168,variant-batch blocks=1 max_same_block=3 distribution=6378194:3
datm-live-2026-07-13T10-51-21-222Z,B,15,2026-07-13T10:53:47.531Z,6378196,45,45,45,3,45,180,variant-batch blocks=1 max_same_block=3 distribution=6378196:3
datm-live-2026-07-13T10-51-21-222Z,B,16,2026-07-13T10:53:57.076Z,6378198,48,48,48,3,48,192,variant-batch blocks=1 max_same_block=3 distribution=6378198:3
datm-live-2026-07-13T10-51-21-222Z,B,17,2026-07-13T10:54:06.612Z,6378200,51,51,51,3,51,204,variant-batch blocks=1 max_same_block=3 distribution=6378200:3
datm-live-2026-07-13T10-51-21-222Z,B,18,2026-07-13T10:54:16.191Z,6378202,54,54,54,3,54,216,variant-batch blocks=1 max_same_block=3 distribution=6378202:3
datm-live-2026-07-13T10-51-21-222Z,B,19,2026-07-13T10:54:25.739Z,6378204,57,57,57,3,57,228,variant-batch blocks=1 max_same_block=3 distribution=6378204:3
datm-live-2026-07-13T10-51-21-222Z,B,20,2026-07-13T10:54:35.331Z,6378206,60,60,60,3,60,240,variant-batch blocks=1 max_same_block=3 distribution=6378206:3
datm-live-2026-07-13T10-51-21-222Z,B,21,2026-07-13T10:54:44.808Z,6378208,63,63,63,3,63,252,variant-batch blocks=1 max_same_block=3 distribution=6378208:3
datm-live-2026-07-13T10-51-21-222Z,B,22,2026-07-13T10:54:54.366Z,6378210,66,66,66,3,66,264,variant-batch blocks=1 max_same_block=3 distribution=6378210:3
datm-live-2026-07-13T10-51-21-222Z,B,23,2026-07-13T10:55:07.921Z,6378212,69,69,69,3,69,276,variant-batch blocks=1 max_same_block=3 distribution=6378212:3
datm-live-2026-07-13T10-51-21-222Z,B,24,2026-07-13T10:55:17.439Z,6378214,72,72,72,3,72,288,variant-batch blocks=1 max_same_block=3 distribution=6378214:3
datm-live-2026-07-13T10-51-21-222Z,B,25,2026-07-13T10:55:26.966Z,6378216,75,75,75,3,75,300,variant-batch blocks=1 max_same_block=3 distribution=6378216:3
datm-live-2026-07-13T10-51-21-222Z,B,26,2026-07-13T10:55:36.518Z,6378218,78,78,78,3,78,312,variant-batch blocks=1 max_same_block=3 distribution=6378218:3
datm-live-2026-07-13T10-51-21-222Z,B,27,2026-07-13T10:55:46.068Z,6378220,81,81,81,3,81,324,variant-batch blocks=1 max_same_block=3 distribution=6378220:3
datm-live-2026-07-13T10-51-21-222Z,B,28,2026-07-13T10:55:55.588Z,6378222,84,84,84,3,84,336,variant-batch blocks=1 max_same_block=3 distribution=6378222:3
datm-live-2026-07-13T10-51-21-222Z,B,29,2026-07-13T10:56:05.073Z,6378224,87,87,87,3,87,348,variant-batch blocks=1 max_same_block=3 distribution=6378224:3
datm-live-2026-07-13T10-51-21-222Z,B,30,2026-07-13T10:56:14.626Z,6378226,90,90,90,3,90,360,variant-batch blocks=1 max_same_block=3 distribution=6378226:3
