run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T11-05-39-844Z,C,1,2026-07-13T11:05:44.546Z,6378340,3,3,3,3,3,12,variant-batch blocks=1 max_same_block=3 distribution=6378340:3
datm-live-2026-07-13T11-05-39-844Z,C,2,2026-07-13T11:05:58.152Z,6378342,6,6,6,3,6,24,variant-batch blocks=1 max_same_block=3 distribution=6378342:3
datm-live-2026-07-13T11-05-39-844Z,C,3,2026-07-13T11:06:07.657Z,6378344,9,9,9,3,9,36,variant-batch blocks=1 max_same_block=3 distribution=6378344:3
datm-live-2026-07-13T11-05-39-844Z,C,4,2026-07-13T11:06:17.176Z,6378346,12,12,12,3,12,48,variant-batch blocks=1 max_same_block=3 distribution=6378346:3
datm-live-2026-07-13T11-05-39-844Z,C,5,2026-07-13T11:06:26.705Z,6378348,15,15,15,3,15,60,variant-batch blocks=1 max_same_block=3 distribution=6378348:3
datm-live-2026-07-13T11-05-39-844Z,C,6,2026-07-13T11:06:36.278Z,6378350,18,18,18,3,18,72,variant-batch blocks=1 max_same_block=3 distribution=6378350:3
datm-live-2026-07-13T11-05-39-844Z,C,7,2026-07-13T11:06:46.653Z,6378352,21,21,21,3,21,84,variant-batch blocks=1 max_same_block=3 distribution=6378352:3
datm-live-2026-07-13T11-05-39-844Z,C,8,2026-07-13T11:06:56.442Z,6378354,24,24,24,3,24,96,variant-batch blocks=1 max_same_block=3 distribution=6378354:3
datm-live-2026-07-13T11-05-39-844Z,C,9,2026-07-13T11:07:07.212Z,6378356,27,27,27,3,27,108,variant-batch blocks=1 max_same_block=3 distribution=6378356:3
datm-live-2026-07-13T11-05-39-844Z,C,10,2026-07-13T11:07:17.497Z,6378358,30,30,30,3,30,120,variant-batch blocks=1 max_same_block=3 distribution=6378358:3
datm-live-2026-07-13T11-05-39-844Z,C,11,2026-07-13T11:07:27.103Z,6378360,33,33,33,3,33,132,variant-batch blocks=1 max_same_block=3 distribution=6378360:3
datm-live-2026-07-13T11-05-39-844Z,C,12,2026-07-13T11:07:36.668Z,6378362,36,36,36,3,36,144,variant-batch blocks=1 max_same_block=3 distribution=6378362:3
datm-live-2026-07-13T11-05-39-844Z,C,13,2026-07-13T11:07:46.196Z,6378364,39,39,39,3,39,156,variant-batch blocks=1 max_same_block=3 distribution=6378364:3
datm-live-2026-07-13T11-05-39-844Z,C,14,2026-07-13T11:07:56.555Z,6378366,42,42,42,3,42,168,variant-batch blocks=1 max_same_block=3 distribution=6378366:3
datm-live-2026-07-13T11-05-39-844Z,C,15,2026-07-13T11:08:06.539Z,6378368,45,45,45,3,45,180,variant-batch blocks=1 max_same_block=3 distribution=6378368:3
datm-live-2026-07-13T11-05-39-844Z,C,16,2026-07-13T11:08:15.044Z,6378370,48,48,48,3,48,192,variant-batch blocks=1 max_same_block=3 distribution=6378370:3
datm-live-2026-07-13T11-05-39-844Z,C,17,2026-07-13T11:08:24.743Z,6378372,51,51,51,3,51,204,variant-batch blocks=1 max_same_block=3 distribution=6378372:3
datm-live-2026-07-13T11-05-39-844Z,C,18,2026-07-13T11:08:34.398Z,6378374,54,54,54,3,54,216,variant-batch blocks=1 max_same_block=3 distribution=6378374:3
datm-live-2026-07-13T11-05-39-844Z,C,19,2026-07-13T11:08:48.052Z,6378376,57,57,57,3,57,228,variant-batch blocks=1 max_same_block=3 distribution=6378376:3
datm-live-2026-07-13T11-05-39-844Z,C,20,2026-07-13T11:08:57.829Z,6378378,60,60,60,3,60,240,variant-batch blocks=1 max_same_block=3 distribution=6378378:3
datm-live-2026-07-13T11-05-39-844Z,C,21,2026-07-13T11:09:07.364Z,6378380,63,63,63,3,63,252,variant-batch blocks=1 max_same_block=3 distribution=6378380:3
datm-live-2026-07-13T11-05-39-844Z,C,22,2026-07-13T11:09:16.856Z,6378382,66,66,66,3,66,264,variant-batch blocks=1 max_same_block=3 distribution=6378382:3
datm-live-2026-07-13T11-05-39-844Z,C,23,2026-07-13T11:09:25.147Z,6378384,69,69,69,3,69,276,variant-batch blocks=1 max_same_block=3 distribution=6378384:3
datm-live-2026-07-13T11-05-39-844Z,C,24,2026-07-13T11:09:35.484Z,6378386,72,72,72,3,72,288,variant-batch blocks=1 max_same_block=3 distribution=6378386:3
datm-live-2026-07-13T11-05-39-844Z,C,25,2026-07-13T11:09:45.162Z,6378388,75,75,75,3,75,300,variant-batch blocks=1 max_same_block=3 distribution=6378388:3
datm-live-2026-07-13T11-05-39-844Z,C,26,2026-07-13T11:09:54.688Z,6378390,78,78,78,3,78,312,variant-batch blocks=1 max_same_block=3 distribution=6378390:3
datm-live-2026-07-13T11-05-39-844Z,C,27,2026-07-13T11:10:04.246Z,6378392,81,81,81,3,81,324,variant-batch blocks=1 max_same_block=3 distribution=6378392:3
datm-live-2026-07-13T11-05-39-844Z,C,28,2026-07-13T11:10:17.900Z,6378394,84,84,84,3,84,336,variant-batch blocks=1 max_same_block=3 distribution=6378394:3
datm-live-2026-07-13T11-05-39-844Z,C,29,2026-07-13T11:10:27.403Z,6378396,87,87,87,3,87,348,variant-batch blocks=1 max_same_block=3 distribution=6378396:3
datm-live-2026-07-13T11-05-39-844Z,C,30,2026-07-13T11:10:37.199Z,6378398,90,90,90,3,90,360,variant-batch blocks=1 max_same_block=3 distribution=6378398:3
