run_id,variant,entity_id,entity_profile,sequence_no,scheduled_at,datm_start_at,datm_end_at,datm_processing_ms,submit_at,tx_hash,receipt_at,tx_status,gas_used,effective_gas_price,block_number,block_hash,block_timestamp,confirmation_latency_ms,block_inclusion_latency_ms,end_to_end_latency_ms,ats,trust_state,calc_timestamp,input_hash,error_code,error_message
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,1,2026-07-13T10:43:45.620Z,2026-07-13T10:43:45.620Z,2026-07-13T10:43:45.620Z,0,2026-07-13T10:43:45.721Z,0x09f0c02a37d83cca6d5fafa8b74ac42f16b27970ccd55162b74e7a35bdab59ad,2026-07-13T10:43:49.986Z,success,37763,1000,6378077,0x07852dec2a281fab28901a9a0601b87d5548f05628b9c76b1f04d31ca30bc05a,2026-07-13T10:43:49.986Z,4265,4265,4366,89,Trusted,2026-07-13T10:43:45.427Z,0xe9240d7fc6b1aa932937bf9931bbb000c23d7d33c08d62aaa3f9535e84f8ffc9,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,1,2026-07-13T10:43:45.624Z,2026-07-13T10:43:45.624Z,2026-07-13T10:43:45.624Z,0,2026-07-13T10:43:45.752Z,0xa7f61d4371c9fcb6fb8e1201b71662640d627bd2550e6442018b7e4fe285dc1c,2026-07-13T10:43:50.015Z,success,37775,1000,6378077,0x07852dec2a281fab28901a9a0601b87d5548f05628b9c76b1f04d31ca30bc05a,2026-07-13T10:43:50.015Z,4263,4263,4391,90,Trusted,2026-07-13T10:43:45.427Z,0xe22d19b4a6cf04be86027fce68bfc64835d8650aec2759ebab4afe4277886815,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,1,2026-07-13T10:43:45.625Z,2026-07-13T10:43:45.625Z,2026-07-13T10:43:45.625Z,0,2026-07-13T10:43:45.753Z,0xcbff389da9da891db2f66d8ee96cfdb9a01edcf6b4bc1406cfb4cba2a72facd8,2026-07-13T10:43:49.987Z,success,37775,1000,6378077,0x07852dec2a281fab28901a9a0601b87d5548f05628b9c76b1f04d31ca30bc05a,2026-07-13T10:43:49.987Z,4234,4234,4362,90,Trusted,2026-07-13T10:43:45.427Z,0xa4c1f5d91cfd62d15cc2267efd8cf6b8fe22272b55f1644fb5012bb828a45a47,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,2,2026-07-13T10:43:55.130Z,2026-07-13T10:43:55.130Z,2026-07-13T10:43:55.130Z,0,2026-07-13T10:43:55.241Z,0x74f256b55df9cf05e207267bb2c86efb0f35dbe2411603e2e84fb89bac6c650e,2026-07-13T10:43:59.510Z,success,37763,1000,6378079,0x9cd3f889155ff77878d30ca135d674e356bdbe64360c9b19bfb62d2b92d6310d,2026-07-13T10:43:59.510Z,4269,4269,4380,93,Trusted,2026-07-13T10:43:55.427Z,0x9f3a90c3796e6f4144f13ba7d6c47a7cdc3eb6584d00b01f8e9166c5e72e52f7,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,2,2026-07-13T10:43:55.132Z,2026-07-13T10:43:55.132Z,2026-07-13T10:43:55.132Z,0,2026-07-13T10:43:55.268Z,0xa5a8cd916a351c9cad10511773e28cf8b34a2e6c409527914dfec493a506e865,2026-07-13T10:43:59.485Z,success,37775,1000,6378079,0x9cd3f889155ff77878d30ca135d674e356bdbe64360c9b19bfb62d2b92d6310d,2026-07-13T10:43:59.485Z,4217,4217,4353,93,Trusted,2026-07-13T10:43:55.427Z,0x6d57f9a54bd746c71abbbe4665bd50eab817d8f305750a6a978e590be7bcb563,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,2,2026-07-13T10:43:55.133Z,2026-07-13T10:43:55.133Z,2026-07-13T10:43:55.133Z,0,2026-07-13T10:43:55.269Z,0x2a554fc04e55d4015136d467fef264986c4ce09afffbaf45839ecd654d52fa60,2026-07-13T10:43:59.486Z,success,37775,1000,6378079,0x9cd3f889155ff77878d30ca135d674e356bdbe64360c9b19bfb62d2b92d6310d,2026-07-13T10:43:59.486Z,4217,4217,4353,91,Trusted,2026-07-13T10:43:55.427Z,0xabffaf568653afd59b016c77019c93d8e2c2658a6ce9ecb43166874deefb34cf,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,3,2026-07-13T10:44:04.617Z,2026-07-13T10:44:04.617Z,2026-07-13T10:44:04.617Z,0,2026-07-13T10:44:04.728Z,0x12afdbe9006628a152faa0d36836d745c7b522d25aaf3daea0fce4cf30450544,2026-07-13T10:44:13.025Z,success,37763,1000,6378081,0x10505d43db66ace9cdc3371e68a5d68e65eca0c365b9b91540647fbb32232505,2026-07-13T10:44:13.025Z,8297,8297,8408,93,Trusted,2026-07-13T10:44:05.427Z,0xac7bba9b56a7c121303b6543b4ba62a6b465e6e738783c62f728dc3d29097700,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,3,2026-07-13T10:44:04.618Z,2026-07-13T10:44:04.618Z,2026-07-13T10:44:04.618Z,0,2026-07-13T10:44:04.728Z,0xddebb5dd655182678a75f56ee8b155443edb7e6e21296073516b5b06e06d5b3f,2026-07-13T10:44:13.000Z,success,37775,1000,6378081,0x10505d43db66ace9cdc3371e68a5d68e65eca0c365b9b91540647fbb32232505,2026-07-13T10:44:13.000Z,8272,8272,8382,92,Trusted,2026-07-13T10:44:05.427Z,0xf615043d27f75aa48a41055a5e7c3bae1539681c32df36e7a71a88d536df85e1,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,3,2026-07-13T10:44:04.619Z,2026-07-13T10:44:04.619Z,2026-07-13T10:44:04.619Z,0,2026-07-13T10:44:04.753Z,0x6a61f0afdaa9e24ea1dbc3989dc0c9a0dda89a63ffd1b2f57154e12dd9d204c4,2026-07-13T10:44:12.972Z,success,37775,1000,6378081,0x10505d43db66ace9cdc3371e68a5d68e65eca0c365b9b91540647fbb32232505,2026-07-13T10:44:12.972Z,8219,8219,8353,93,Trusted,2026-07-13T10:44:05.427Z,0xd45a4f8611368a51dd55c13c61a72e3dd64b6568a7a3151d353c755d6f14ee6a,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,4,2026-07-13T10:44:18.133Z,2026-07-13T10:44:18.133Z,2026-07-13T10:44:18.133Z,0,2026-07-13T10:44:18.254Z,0xd13379f885cbd2c1a2ea356b54383c67b87c34ff6128ffbe45597dc6edcf0c6d,2026-07-13T10:44:22.523Z,success,37775,1000,6378083,0xbd718c9d6393566e16bd1047ff1f1d069cd94a7dada7ee92e21088a3752b8835,2026-07-13T10:44:22.523Z,4269,4269,4390,91,Trusted,2026-07-13T10:44:15.427Z,0xb55f1277b567e0dca95b195de924f92199ecb2a18968362a532ad7e1dc4edbc5,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,4,2026-07-13T10:44:18.134Z,2026-07-13T10:44:18.134Z,2026-07-13T10:44:18.134Z,0,2026-07-13T10:44:18.254Z,0x09f1e06057bfb23d4823c4b3bf437e6773415ba357dc8ce223d7e9e949a69a98,2026-07-13T10:44:22.543Z,success,37775,1000,6378083,0xbd718c9d6393566e16bd1047ff1f1d069cd94a7dada7ee92e21088a3752b8835,2026-07-13T10:44:22.543Z,4289,4289,4409,93,Trusted,2026-07-13T10:44:15.427Z,0x7339121eb8e754fc8befba69eca0394e59089686b156f9c5ec0edb49a4bbeb23,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,4,2026-07-13T10:44:18.135Z,2026-07-13T10:44:18.135Z,2026-07-13T10:44:18.135Z,0,2026-07-13T10:44:18.283Z,0xfaab7c110df64093c60546444f6b2755cbf6f57a7392bbf6329b479455055768,2026-07-13T10:44:22.517Z,success,37775,1000,6378083,0xbd718c9d6393566e16bd1047ff1f1d069cd94a7dada7ee92e21088a3752b8835,2026-07-13T10:44:22.517Z,4234,4234,4382,93,Trusted,2026-07-13T10:44:15.427Z,0xcc586edfedfe617ebc8026106d795cc75c0a01ae6101c71a6cc33845a845f0d2,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,5,2026-07-13T10:44:27.658Z,2026-07-13T10:44:27.658Z,2026-07-13T10:44:27.658Z,0,2026-07-13T10:44:27.785Z,0xb9a57f7158fd9f65e32263637a7f318bff7a8fa5e04cfb7f71c26d742f5b9a3c,2026-07-13T10:44:32.038Z,success,37775,1000,6378085,0xc632ace69a259169cbdb547a8a112d0318fc23fcfef61da19ce264d9e753c0db,2026-07-13T10:44:32.038Z,4253,4253,4380,93,Trusted,2026-07-13T10:44:25.427Z,0x61d5e8741de2e0aa0beeb471139eca6c0e363210097c5b248efbb11e74aa5510,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,5,2026-07-13T10:44:27.659Z,2026-07-13T10:44:27.659Z,2026-07-13T10:44:27.659Z,0,2026-07-13T10:44:27.786Z,0xf4d385c505614624433d0d1ebdc7b4896f27ea9a0d29b48dc548f1ecee136c8a,2026-07-13T10:44:32.063Z,success,37775,1000,6378085,0xc632ace69a259169cbdb547a8a112d0318fc23fcfef61da19ce264d9e753c0db,2026-07-13T10:44:32.063Z,4277,4277,4404,93,Trusted,2026-07-13T10:44:25.427Z,0x47907c736820640cf578f1c8d9ad74d0f93f0d8aaf4456d33e76adfcc4ac60c9,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,5,2026-07-13T10:44:27.660Z,2026-07-13T10:44:27.660Z,2026-07-13T10:44:27.660Z,0,2026-07-13T10:44:27.815Z,0x2af0f0644a9724b9d9e462b33a00b1ee52d58885e2943320e9f189267757b4a9,2026-07-13T10:44:32.038Z,success,37763,1000,6378085,0xc632ace69a259169cbdb547a8a112d0318fc23fcfef61da19ce264d9e753c0db,2026-07-13T10:44:32.038Z,4223,4223,4378,92,Trusted,2026-07-13T10:44:25.427Z,0x8de5b85c3dcd5afba375b2e93d8b21a9c317c4dfad3000afdd3592205dff2e39,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,6,2026-07-13T10:44:37.178Z,2026-07-13T10:44:37.178Z,2026-07-13T10:44:37.178Z,0,2026-07-13T10:44:37.283Z,0xda2196e5e345c8a02f04c8dee2ecc000e50b85fcf79256541e248b9a4b469860,2026-07-13T10:44:41.557Z,success,37763,1000,6378087,0xfb264e8a1c8c4352bdee3fb17fabf9e1f9cba73081a835451a0f037236dfdbfa,2026-07-13T10:44:41.557Z,4274,4274,4379,93,Trusted,2026-07-13T10:44:35.427Z,0x87327ab7125862b9795cb2009dc06f7c09ee46b983f35117cc8c6d1626dff38d,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,6,2026-07-13T10:44:37.180Z,2026-07-13T10:44:37.180Z,2026-07-13T10:44:37.180Z,0,2026-07-13T10:44:37.312Z,0x0b9eb034a7265fe251270073e47d10ad8f3d03db1b1d9b9245f65b5af0fb6726,2026-07-13T10:44:41.558Z,success,37775,1000,6378087,0xfb264e8a1c8c4352bdee3fb17fabf9e1f9cba73081a835451a0f037236dfdbfa,2026-07-13T10:44:41.558Z,4246,4246,4378,92,Trusted,2026-07-13T10:44:35.427Z,0x9785f50ec21b6fbf233f5c0e0bf4756b7c199e5e38b9e7787a93babbe84769a1,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,6,2026-07-13T10:44:37.180Z,2026-07-13T10:44:37.180Z,2026-07-13T10:44:37.180Z,0,2026-07-13T10:44:37.313Z,0x3a4d083ad2b1a85ca7a5625cd220e658bc295dee792b1f367e2bb78c4abc939d,2026-07-13T10:44:41.532Z,success,37775,1000,6378087,0xfb264e8a1c8c4352bdee3fb17fabf9e1f9cba73081a835451a0f037236dfdbfa,2026-07-13T10:44:41.532Z,4219,4219,4352,93,Trusted,2026-07-13T10:44:35.427Z,0xa8db147f0e2c1b4320a3ef148fd3f36cc7436af45b983b977bf4abfda83577cb,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,7,2026-07-13T10:44:46.663Z,2026-07-13T10:44:46.663Z,2026-07-13T10:44:46.663Z,0,2026-07-13T10:44:46.798Z,0x0b1dad3196d59c337a3331ce7e62f81ea003cee1d90f8dfaf24207a0cac19a79,2026-07-13T10:44:51.016Z,success,37763,1000,6378089,0x97da1a1aee3d32d535ea00f09885d4a9a38e2fc20b5bf359b581bed16b5f97e9,2026-07-13T10:44:51.016Z,4218,4218,4353,92,Trusted,2026-07-13T10:44:45.427Z,0x1f82efc2747363af83412e4e53f41f7f2e0c1549799c009807891564a1906716,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,7,2026-07-13T10:44:46.664Z,2026-07-13T10:44:46.664Z,2026-07-13T10:44:46.664Z,0,2026-07-13T10:44:46.770Z,0x990cd002cc11b0654dba319b5432a538997817b5c8fc0a472f2e4b15f2ac52c9,2026-07-13T10:44:51.018Z,success,37775,1000,6378089,0x97da1a1aee3d32d535ea00f09885d4a9a38e2fc20b5bf359b581bed16b5f97e9,2026-07-13T10:44:51.018Z,4248,4248,4354,93,Trusted,2026-07-13T10:44:45.427Z,0x87fe0995a5cc167656ca2c73a1da367bad0dc8f38dd22a1ec3c5f2b40c348235,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,7,2026-07-13T10:44:46.665Z,2026-07-13T10:44:46.665Z,2026-07-13T10:44:46.665Z,0,2026-07-13T10:44:46.799Z,0x809891333471fcbc4b4bbb03fbe0c82e3020512e5d070c78f155072dddec9022,2026-07-13T10:44:51.043Z,success,37775,1000,6378089,0x97da1a1aee3d32d535ea00f09885d4a9a38e2fc20b5bf359b581bed16b5f97e9,2026-07-13T10:44:51.043Z,4244,4244,4378,93,Trusted,2026-07-13T10:44:45.427Z,0x5fd48076f44206daa5bb1eaceb13e76e80379aebcc5753a54ba2daaeadb4f8f5,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,8,2026-07-13T10:44:56.165Z,2026-07-13T10:44:56.165Z,2026-07-13T10:44:56.165Z,0,2026-07-13T10:44:56.252Z,0xf469483784e30045079d8b495f4d49dc7a0fcfaf1ebb4a635d10770c70ccfdf5,2026-07-13T10:45:00.496Z,success,37763,1000,6378091,0x95b899faed235e2c8b9143cac84cb852f25c34f73e90523cc56533163d673df0,2026-07-13T10:45:00.496Z,4244,4244,4331,93,Trusted,2026-07-13T10:44:55.427Z,0xb5db0163578b7bd479402da38aa8da92dedabf9adf71e55e00d37e416bdf3aa3,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-02-normal,normal,8,2026-07-13T10:44:56.166Z,2026-07-13T10:44:56.166Z,2026-07-13T10:44:56.166Z,0,2026-07-13T10:44:56.278Z,0x51a13a35d8c4aaeea418f64839321d482949ec3101d03c923ca58973b0f8eaf7,2026-07-13T10:45:00.520Z,success,37775,1000,6378091,0x95b899faed235e2c8b9143cac84cb852f25c34f73e90523cc56533163d673df0,2026-07-13T10:45:00.520Z,4242,4242,4354,93,Trusted,2026-07-13T10:44:55.427Z,0xe7df3e57f328ba25e5f3063120caed6f375c7960942e7c84d863499bc3b9ce77,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-03-normal,normal,8,2026-07-13T10:44:56.166Z,2026-07-13T10:44:56.166Z,2026-07-13T10:44:56.166Z,0,2026-07-13T10:44:56.278Z,0x424f401542ceb40d96847827dfd13d966c5d5802e841b2b1bcbd601e74e038cb,2026-07-13T10:45:00.496Z,success,37775,1000,6378091,0x95b899faed235e2c8b9143cac84cb852f25c34f73e90523cc56533163d673df0,2026-07-13T10:45:00.496Z,4218,4218,4330,91,Trusted,2026-07-13T10:44:55.427Z,0xd75ae7a0f9b9a00a31174d4a7b70073ac226f45627ac54288942f5ad0a6b0f5a,,variant-batch live execution
datm-live-2026-07-13T10-43-45-282Z,A,entity-01-normal,normal,9,2026-07-13T10:45:05.624Z,2026-07-13T10:45:05.624Z,2026-07-13T10:45:05.624Z,0,2026-07-13T10:45:05.737Z,0xf5fbef1e973b995af183088a14d63cd15c35c48310f1fb61c04ad9298b32f7e9,2026-07-13T10:45:09.996Z,success,37775,1000,6378093,0xc428e85596f5db8d13c68d1e414b209e02f89ee9f93e56a51c60a3e609cce5a0,2026-07-13T10:45:09.996Z,4259,4259,4372,93,Trusted,2026-07-13T10:45:05.427Z,0xda689ce910da361a170b18c3659effe74e4d766eceef6e843b084b614c4e4a05,,variant-batch live execution
