comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-01-normal-1,entity-01-normal,1,0xe9240d7fc6b1aa932937bf9931bbb000c23d7d33c08d62aaa3f9535e84f8ffc9,,,89,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-1,entity-02-normal,1,0xe22d19b4a6cf04be86027fce68bfc64835d8650aec2759ebab4afe4277886815,,,90,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-1,entity-03-normal,1,0xa4c1f5d91cfd62d15cc2267efd8cf6b8fe22272b55f1644fb5012bb828a45a47,,,90,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-1,entity-04-normal,1,0x797646cc58509bab67fccabcfee9089bfd36aa8760e440b07fcb60bfcb3a24d9,,,89,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-1,entity-05-suspicious,1,0x79ef406a275d003b31b30a2363e6abecc9cd0f1a1c37ac799f605143e20b4b05,,,63,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-1,entity-06-suspicious,1,0x3bc3ba6502071f44adadcdf47f1dc0364636f5c52d71235997f30fa597a0e42e,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-2,entity-01-normal,2,0x9f3a90c3796e6f4144f13ba7d6c47a7cdc3eb6584d00b01f8e9166c5e72e52f7,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-2,entity-02-normal,2,0x6d57f9a54bd746c71abbbe4665bd50eab817d8f305750a6a978e590be7bcb563,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-2,entity-03-normal,2,0xabffaf568653afd59b016c77019c93d8e2c2658a6ce9ecb43166874deefb34cf,,,91,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-2,entity-04-normal,2,0x77eafcccc9d4d4517cddafe7ef38ac5a06a027277ea811d56a2bad668abceec1,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-2,entity-05-suspicious,2,0xf31d001dc1554de1ecfa1d5d9bad423ca8d37dbbad4fdaee2b082e20b5c03834,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-2,entity-06-suspicious,2,0x0915c733cb679605492988b7612269675a0c8d6fbb14507b20bf0667255158d8,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-3,entity-01-normal,3,0xac7bba9b56a7c121303b6543b4ba62a6b465e6e738783c62f728dc3d29097700,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-3,entity-02-normal,3,0xf615043d27f75aa48a41055a5e7c3bae1539681c32df36e7a71a88d536df85e1,,,92,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-3,entity-03-normal,3,0xd45a4f8611368a51dd55c13c61a72e3dd64b6568a7a3151d353c755d6f14ee6a,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-3,entity-04-normal,3,0xbf439e4ff3c103ace229cd7a69e6a1a4f95f7772e558461a8bd7c857e23df136,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-3,entity-05-suspicious,3,0xc23a6cc29b63476de62bb6e18722040bfc38928bed63a3820394cfaf07b5e3d0,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-3,entity-06-suspicious,3,0x5027066e3be96032469140aabcc830cc25022d4461a042f68dcbb91b5966529d,,,64,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-4,entity-01-normal,4,0xb55f1277b567e0dca95b195de924f92199ecb2a18968362a532ad7e1dc4edbc5,,,91,Trusted,,,true,,,,B live result matches expected state
