run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T11-16-28-393Z,A,1,2026-07-13T11:16:29.108Z,6378469,6,6,6,6,6,24,variant-batch blocks=1 max_same_block=6 distribution=6378469:6
datm-live-2026-07-13T11-16-28-393Z,A,2,2026-07-13T11:16:42.658Z,6378471,12,12,12,6,12,48,variant-batch blocks=1 max_same_block=6 distribution=6378471:6
datm-live-2026-07-13T11-16-28-393Z,A,3,2026-07-13T11:16:52.162Z,6378473,18,18,18,6,18,72,variant-batch blocks=1 max_same_block=6 distribution=6378473:6
datm-live-2026-07-13T11-16-28-393Z,A,4,2026-07-13T11:17:01.656Z,6378475,24,24,24,6,24,96,variant-batch blocks=1 max_same_block=6 distribution=6378475:6
datm-live-2026-07-13T11-16-28-393Z,A,5,2026-07-13T11:17:11.194Z,6378477,30,30,30,6,30,120,variant-batch blocks=1 max_same_block=6 distribution=6378477:6
datm-live-2026-07-13T11-16-28-393Z,A,6,2026-07-13T11:17:20.798Z,6378479,36,36,36,6,36,144,variant-batch blocks=1 max_same_block=6 distribution=6378479:6
datm-live-2026-07-13T11-16-28-393Z,A,7,2026-07-13T11:17:30.309Z,6378481,42,42,42,6,42,168,variant-batch blocks=1 max_same_block=6 distribution=6378481:6
datm-live-2026-07-13T11-16-28-393Z,A,8,2026-07-13T11:17:39.884Z,6378483,48,48,48,6,48,192,variant-batch blocks=1 max_same_block=6 distribution=6378483:6
datm-live-2026-07-13T11-16-28-393Z,A,9,2026-07-13T11:17:49.435Z,6378485,54,54,54,6,54,216,variant-batch blocks=1 max_same_block=6 distribution=6378485:6
datm-live-2026-07-13T11-16-28-393Z,A,10,2026-07-13T11:18:03.033Z,6378487,60,60,60,6,60,240,variant-batch blocks=1 max_same_block=6 distribution=6378487:6
datm-live-2026-07-13T11-16-28-393Z,A,11,2026-07-13T11:18:12.498Z,6378489,66,66,66,6,66,264,variant-batch blocks=1 max_same_block=6 distribution=6378489:6
datm-live-2026-07-13T11-16-28-393Z,A,12,2026-07-13T11:18:22.244Z,6378491,72,72,72,6,72,288,variant-batch blocks=1 max_same_block=6 distribution=6378491:6
datm-live-2026-07-13T11-16-28-393Z,A,13,2026-07-13T11:18:31.895Z,6378493,78,78,78,6,78,312,variant-batch blocks=1 max_same_block=6 distribution=6378493:6
datm-live-2026-07-13T11-16-28-393Z,A,14,2026-07-13T11:18:41.434Z,6378495,84,84,84,6,84,336,variant-batch blocks=1 max_same_block=6 distribution=6378495:6
datm-live-2026-07-13T11-16-28-393Z,A,15,2026-07-13T11:18:50.950Z,6378497,90,90,90,6,90,360,variant-batch blocks=1 max_same_block=6 distribution=6378497:6
datm-live-2026-07-13T11-16-28-393Z,A,16,2026-07-13T11:19:00.523Z,6378499,96,96,96,6,96,384,variant-batch blocks=1 max_same_block=6 distribution=6378499:6
datm-live-2026-07-13T11-16-28-393Z,A,17,2026-07-13T11:19:10.024Z,6378501,102,102,102,6,102,408,variant-batch blocks=1 max_same_block=6 distribution=6378501:6
datm-live-2026-07-13T11-16-28-393Z,A,18,2026-07-13T11:19:19.545Z,6378503,108,108,108,6,108,432,variant-batch blocks=1 max_same_block=6 distribution=6378503:6
datm-live-2026-07-13T11-16-28-393Z,A,19,2026-07-13T11:19:33.085Z,6378505,114,114,114,6,114,456,variant-batch blocks=1 max_same_block=6 distribution=6378505:6
datm-live-2026-07-13T11-16-28-393Z,A,20,2026-07-13T11:19:42.651Z,6378507,120,120,120,6,120,480,variant-batch blocks=1 max_same_block=6 distribution=6378507:6
datm-live-2026-07-13T11-16-28-393Z,A,21,2026-07-13T11:19:52.200Z,6378509,126,126,126,6,126,504,variant-batch blocks=1 max_same_block=6 distribution=6378509:6
datm-live-2026-07-13T11-16-28-393Z,A,22,2026-07-13T11:20:01.738Z,6378511,132,132,132,6,132,528,variant-batch blocks=1 max_same_block=6 distribution=6378511:6
datm-live-2026-07-13T11-16-28-393Z,A,23,2026-07-13T11:20:11.253Z,6378513,138,138,138,6,138,552,variant-batch blocks=1 max_same_block=6 distribution=6378513:6
datm-live-2026-07-13T11-16-28-393Z,A,24,2026-07-13T11:20:20.754Z,6378515,144,144,144,6,144,576,variant-batch blocks=1 max_same_block=6 distribution=6378515:6
datm-live-2026-07-13T11-16-28-393Z,A,25,2026-07-13T11:20:30.264Z,6378517,150,150,150,6,150,600,variant-batch blocks=1 max_same_block=6 distribution=6378517:6
datm-live-2026-07-13T11-16-28-393Z,A,26,2026-07-13T11:20:39.788Z,6378519,156,156,156,6,156,624,variant-batch blocks=1 max_same_block=6 distribution=6378519:6
datm-live-2026-07-13T11-16-28-393Z,A,27,2026-07-13T11:20:49.324Z,6378521,162,162,162,6,162,648,variant-batch blocks=1 max_same_block=6 distribution=6378521:6
datm-live-2026-07-13T11-16-28-393Z,A,28,2026-07-13T11:21:02.802Z,6378523,168,168,168,6,168,672,variant-batch blocks=1 max_same_block=6 distribution=6378523:6
datm-live-2026-07-13T11-16-28-393Z,A,29,2026-07-13T11:21:12.361Z,6378525,174,174,174,6,174,696,variant-batch blocks=1 max_same_block=6 distribution=6378525:6
datm-live-2026-07-13T11-16-28-393Z,A,30,2026-07-13T11:21:21.889Z,6378527,180,180,180,6,180,720,variant-batch blocks=1 max_same_block=6 distribution=6378527:6
