run_id,variant,entity_id,sequence_no,read_started_at,read_finished_at,read_latency_ms,block_tag,returned_ats,returned_trust_state,returned_timestamp,read_success,error_code,error_message
datm-live-2026-07-13T11-22-25-113Z,B,entity-01-normal,1,2026-07-13T11:22:29.869Z,2026-07-13T11:22:29.978Z,109,latest,89,Trusted,2026-07-13T11:22:25.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-02-normal,1,2026-07-13T11:22:29.846Z,2026-07-13T11:22:29.940Z,94,latest,90,Trusted,2026-07-13T11:22:25.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-03-normal,1,2026-07-13T11:22:29.854Z,2026-07-13T11:22:29.948Z,94,latest,90,Trusted,2026-07-13T11:22:25.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-04-normal,1,2026-07-13T11:22:29.854Z,2026-07-13T11:22:29.948Z,94,latest,89,Trusted,2026-07-13T11:22:25.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-05-suspicious,1,2026-07-13T11:22:29.854Z,2026-07-13T11:22:29.947Z,93,latest,63,Suspicious,2026-07-13T11:22:25.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-06-suspicious,1,2026-07-13T11:22:29.842Z,2026-07-13T11:22:29.939Z,97,latest,60,Suspicious,2026-07-13T11:22:25.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-01-normal,2,2026-07-13T11:22:39.382Z,2026-07-13T11:22:39.482Z,100,latest,93,Trusted,2026-07-13T11:22:35.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-02-normal,2,2026-07-13T11:22:39.386Z,2026-07-13T11:22:39.505Z,119,latest,93,Trusted,2026-07-13T11:22:35.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-03-normal,2,2026-07-13T11:22:39.389Z,2026-07-13T11:22:39.483Z,94,latest,91,Trusted,2026-07-13T11:22:35.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-22-25-113Z,B,entity-04-normal,2,2026-07-13T11:22:39.388Z,2026-07-13T11:22:39.504Z,116,latest,93,Trusted,2026-07-13T11:22:35.000Z,true,,live read after variant-batch update
